Year,Statistic,Name,Team,#
1918,Base on Balls,Max Carey,Pittsburgh,62
1918,Batting Average,Zack Wheat,Brooklyn,.335
1918,Doubles,Heinie Groh,Cincinnati,28
1918,Hits,Charlie Hollocher,Chicago,161
1918,Home Runs,Gavvy Cravath,Philadelphia,8
1918,On Base Percentage,Heinie Groh,Cincinnati,.395
1918,RBI,Sherry Magee,Cincinnati,76
1918,Runs,Heinie Groh,Cincinnati,86
1918,Slugging Average,Edd Roush,Cincinnati,.455
1918,Stolen Bases,Max Carey,Pittsburgh,58
1918,Total Bases,Charlie Hollocher,Chicago,202
1918,Triples,Jake Daubert,Brooklyn,15
1918,Statistic,Name(s),Team(s),#
